w1,w2,w3,wans
Cottage,Swiss,Cake,Cheese 
Cream,Skate,Water,Ice 
Loser,Throat,Spot,Sore 
Show,Life,Row,Boat 
Night,Wrist,Stop,Watch 
Duck,Fold,Dollar,Bill 
Rocking,Wheel,High,Chair 
Dew,Comb,Bee,Honey 
Fountain,Baking,Pop,Soda 
Preserve,Ranger,Tropical,Forest 
Aid,Rubber,Wagon,Band 
Flake,Mobile,Cone,Snow 
Cracker,Fly,Fighter,Fire 
Safety,Cushion,Point,Pin 
Cane,Daddy,Plum,Sugar 
Dream,Break,Light,Day 
Fish,Mine,Rush,Gold 
Political,Surprise,Line,Party 
Measure,Worm,Video,Tape 
High,District,House,School 
Sense,Courtesy,Place,Common 
Worm,Shelf,End,Book
Piece,Mind,Dating,Game
Flower,Friend,Scout,Girl 
River,Note,Account,Bank
Print,Berry,Bird,Blue 
Pie,Luck,Belly,Pot 
Date,Alley,Fold,Blind 
Opera,Hand,Dish,Soap 
Cadet,Capsule,Ship,Space 
Fur,Rack,Tail,Coat 
Stick,Maker,Point,Match 
Hound,Pressure,Shot,Blood 
Fox,Man,Peep,Hole 
Sleeping,Bean,Trash,Bag 
Dust,Cereal,Fish,Bowl 
Light,Birthday,Stick,Candle 
Food,Forward,Break,Fast 
Shine,Beam,Struck,Moon 
Peach,Arm,Tar,Pit 
Water,Mine,Shaker,Salt 
Palm,Shoe,House,Tree 
Basket,Eight,Snow,Ball 
Wheel,Hand,Shopping,Cart
Right,Cat,Carbon,Copy
Home,Sea,Bed,Sick 
Nuclear,Feud,Album,Family 
Sandwich,House,Golf,Club 
Cross,Rain,Tie,Bow
Sage,Paint,Hair,Brush 
