w1;w2;w3;wans;answer;embedding
question ;reply ;solution ;answer ;;answer
sensitive ;sob;weep;cry;;cry
antlers ;doe ;fawn ;deer ;;deer
bud ;dandelion ;petals ;flower ;;flower
colt ;mare ;unicorn ;horse ;;horse
crown ;royaly ;throne ;king;;king
algebra ;calculus ;trigonometry ;math;;mathematics
pedal ;pull ;shove;push;;push
clockwise ;left ;wrong ;right ;;right
flu ;nauseous ;virus ;sick ;;influenza
astronomy ;moon ;twinkle ;star;;star
bait ;pond ;tuna ;fish;;fish
bandaid ;trim ;wound ;cut ;;cut
gravity ;low ;up;down;;down
emergency ;rapid;slow ;fast;;fast
brawl ;debate ;soldier;fight ;;fight
birds ;frog ;kite ;fly;;bird
finger ;glove ;palm;hand ;;hand
bed ;darkness ;sedative ;sleep;;sleep
discuss ;gossip ;telephone;talk;;talk
fangs ;gums ;wolf;teeth ;;fang
marsh ;saliva ;slippery ;wet;;
dictionary ;verse ;vocabulary ;words;;word
fault ;incorrect ;unjust;wrong;;wrong
murder;operate;vein;blood;;crime
empire;moat;princess;castle;;castle
bench;sofa;stool;chair;;chair
beaker;flask;science;chemistry;;breakers
adults;development;yo-yo;children;;
cemetery;coma;noose;dead;;human
exam;scare;terror;fear;;fear
hand;toe;trigger;finger;;finger
angel;church;faith;god;;pray
body;commander;skull;head;;head
cello;scalpel;trumpet;instrument;;instrument
desk;quill;stapler;pen;;staples
arrest;badge;deputy;cop;;officer
electron;inertia;zest;energy;;
diet;strain;sweat;exercise;;stress
assault;cop;murder;gun;;crime
drill;grave;spike;hole;;hole
care;tactful;willing;kind;;
midnight;saturn;wolf;moon;;fang
bloom;opportunity;split;open;;opening
accomplished;dolphin;sly;smart;;
duck;sardine;sinker;swim;;food
europe;mushroom;pack;trip;;pick
fierce;steel;warrior;strong;;sword
