w1;w2;w3;wans;answer;Match 
question ;reply ;solution ;answer ;;
sensitive ;sob;weep;cry;;
antlers ;doe ;fawn ;deer ;;
bud ;dandelion ;petals ;flower ;;
colt ;mare ;unicorn ;horse ;;
crown ;royaly ;throne ;king;;
algebra ;calculus ;trigonometry ;math;;
pedal ;pull ;shove;push;;
clockwise ;left ;wrong ;right ;;
flu ;nauseous ;virus ;sick ;;
astronomy ;moon ;twinkle ;star;;
bait ;pond ;tuna ;fish;;
bandaid ;trim ;wound ;cut ;;
gravity ;low ;up;down;;
emergency ;rapid;slow ;fast;;
brawl ;debate ;soldier;fight ;;
birds ;frog ;kite ;fly;;
finger ;glove ;palm;hand ;;
bed ;darkness ;sedative ;sleep;;
discuss ;gossip ;telephone;talk;;
fangs ;gums ;wolf;teeth ;;
marsh ;saliva ;slippery ;wet;;
dictionary ;verse ;vocabulary ;words;;
fault ;incorrect ;unjust;wrong;;
murder;operate;vein;blood;;
empire;moat;princess;castle;;
bench;sofa;stool;chair;;
beaker;flask;science;chemistry;;
adults;development;yo-yo;children;;
cemetery;coma;noose;dead;;
exam;scare;terror;fear;;
hand;toe;trigger;finger;;
angel;church;faith;god;;
body;commander;skull;head;;
cello;scalpel;trumpet;instrument;;
desk;quill;stapler;pen;;
arrest;badge;deputy;cop;;
electron;inertia;zest;energy;;
diet;strain;sweat;exercise;;
assault;cop;murder;gun;;
drill;grave;spike;hole;;
care;tactful;willing;kind;;
midnight;saturn;wolf;moon;;
bloom;opportunity;split;open;;
accomplished;dolphin;sly;smart;;
duck;sardine;sinker;swim;;
europe;mushroom;pack;trip;;
fierce;steel;warrior;strong;;
